date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01 00:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,19,87,94,0.0,1005,2,7,225,10,Emden
2021-01-01 01:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,20,80,94,0.0,1005,2,8,225,10,Emden
2021-01-01 02:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,20,72,94,0.0,1005,2,9,225,10,Emden
2021-01-01 03:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,20,65,94,0.0,1006,2,10,226,10,Emden
2021-01-01 04:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,18,59,94,0.0,1006,2,8,253,9,Emden
2021-01-01 05:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,15,53,94,0.0,1006,2,6,281,8,Emden
2021-01-01 06:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-0,2,-0,13,47,94,0.0,1006,2,5,308,6,Emden
2021-01-01 07:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,0,2,0,10,47,93,0.0,1006,2,6,250,5,Emden
2021-01-01 08:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,1,2,1,8,46,92,0.0,1006,2,6,192,4,Emden
2021-01-01 09:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,2,2,2,5,46,91,0.0,1007,2,7,133,3,Emden
2021-01-01 10:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,2,3,2,7,52,89,0.0,1007,3,8,142,4,Emden
2021-01-01 11:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,2,3,2,8,57,86,0.0,1007,3,9,151,5,Emden
2021-01-01 12:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,3,4,3,9,63,84,0.0,1008,4,10,159,6,Emden
2021-01-01 13:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,2,4,2,12,71,84,0.0,1008,4,10,183,8,Emden
2021-01-01 14:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,2,4,2,15,78,85,0.0,1008,4,10,207,9,Emden
2021-01-01 15:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,2,4,2,19,86,85,0.0,1008,4,10,231,11,Emden
2021-01-01 16:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,1,4,1,21,86,87,0.0,1008,4,10,231,12,Emden
2021-01-01 17:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,1,4,1,22,86,88,0.0,1008,4,10,232,13,Emden
2021-01-01 18:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,1,4,1,24,87,90,0.0,1009,4,10,232,14,Emden
2021-01-01 19:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,0,4,0,25,79,91,0.0,1009,4,10,231,14,Emden
2021-01-01 20:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,-0,3,-0,25,72,92,0.0,1009,3,10,231,14,Emden
2021-01-01 21:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,-1,3,-1,26,64,93,0.0,1010,3,10,230,14,Emden
2021-01-01 22:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,2,-1,3,-1,25,68,94,0.0,1010,3,9,225,13,Emden
2021-01-01 23:00:00,4,2,0.0,1.9,1,79,07:46 PM,11:43 AM,09:47 AM,05:24 PM,1,-1,2,-1,24,72,94,0.0,1010,2,8,220,12,Emden
2021-01-02 00:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,-1,2,-1,23,76,94,0.0,1010,2,7,216,12,Emden
2021-01-02 01:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,-1,2,-1,20,82,94,0.0,1010,2,8,224,10,Emden
2021-01-02 02:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,-0,2,-0,17,89,94,0.0,1010,2,9,232,9,Emden
2021-01-02 03:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,0,2,0,14,95,94,0.0,1010,2,10,240,7,Emden
2021-01-02 04:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,0,2,0,13,95,94,0.0,1011,2,10,197,7,Emden
2021-01-02 05:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,1,2,1,12,96,93,0.0,1011,2,10,154,6,Emden
2021-01-02 06:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,2,1,2,1,11,96,93,0.0,1011,2,10,111,6,Emden
2021-01-02 07:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,1,2,1,11,81,92,0.0,1012,2,10,92,6,Emden
2021-01-02 08:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,0,2,0,12,67,91,0.0,1012,2,10,72,7,Emden
2021-01-02 09:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,0,2,0,12,52,90,0.0,1013,2,10,53,7,Emden
2021-01-02 10:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,1,3,1,12,43,86,0.0,1013,3,10,54,7,Emden
2021-01-02 11:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,1,1,3,1,11,34,82,0.0,1014,3,10,55,7,Emden
2021-01-02 12:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,0,2,4,2,11,25,78,0.0,1014,4,10,56,7,Emden
2021-01-02 13:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,0,2,4,2,10,25,79,0.0,1014,4,10,61,6,Emden
2021-01-02 14:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,0,2,4,2,9,25,79,0.0,1014,4,10,66,6,Emden
2021-01-02 15:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,0,3,3,3,8,25,79,0.0,1015,3,10,71,5,Emden
2021-01-02 16:00:00,4,1,0.0,5.8,1,71,09:05 PM,12:11 PM,09:47 AM,05:25 PM,-0,1,3,1,9,31,82,0.0,1015,3,10,73,5,Emden
