date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01 00:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,3,-2,2,-2,17,100,97,1.7,1005,0,7,20,13,Korschenbroich
2021-01-01 01:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,-2,2,-2,19,100,97,0.9,1005,1,6,17,13,Korschenbroich
2021-01-01 02:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,-2,2,-2,20,100,97,0.6,1005,2,5,14,14,Korschenbroich
2021-01-01 03:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,-2,2,-2,22,100,97,0.8,1006,2,3,11,14,Korschenbroich
2021-01-01 04:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,-2,2,-2,21,100,96,0.4,1006,2,3,85,13,Korschenbroich
2021-01-01 05:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,-2,2,-2,19,100,95,0.5,1006,2,2,159,12,Korschenbroich
2021-01-01 06:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,-2,2,-2,18,100,94,0.7,1007,2,2,234,12,Korschenbroich
2021-01-01 07:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,-1,2,-1,16,99,93,0.4,1007,2,4,262,10,Korschenbroich
2021-01-01 08:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,-1,2,-1,14,98,92,0.2,1008,2,6,291,9,Korschenbroich
2021-01-01 09:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,0,-1,2,-1,11,98,92,0.3,1008,2,7,319,7,Korschenbroich
2021-01-01 10:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,0,2,0,10,89,89,0.1,1009,2,8,311,7,Korschenbroich
2021-01-01 11:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,1,3,1,9,81,87,0.0,1009,3,9,303,7,Korschenbroich
2021-01-01 12:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,2,4,2,9,73,84,0.0,1010,4,10,295,7,Korschenbroich
2021-01-01 13:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,1,2,4,2,9,77,84,0.0,1010,4,10,289,7,Korschenbroich
2021-01-01 14:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,2,4,2,9,82,84,0.0,1010,4,10,283,7,Korschenbroich
2021-01-01 15:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,3,4,3,9,87,84,0.0,1010,4,10,277,7,Korschenbroich
2021-01-01 16:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,2,4,2,10,91,85,0.0,1011,4,10,272,8,Korschenbroich
2021-01-01 17:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,2,4,2,10,96,86,0.0,1011,4,10,268,8,Korschenbroich
2021-01-01 18:00:00,4,0,1.9,2.0,1,79,08:00 PM,11:35 AM,09:38 AM,05:38 PM,2,2,4,2,11,100,88,0.0,1011,4,10,263,8,Korschenbroich
