date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01 00:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-2,-4,-1,-4,11,75,93,0.0,1007,-1,10,161,6,Pilsach
2021-01-01 01:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-2,-3,-1,-3,10,81,93,0.0,1007,-1,9,157,6,Pilsach
2021-01-01 02:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-2,-3,-1,-3,9,88,93,0.0,1007,-1,8,153,5,Pilsach
2021-01-01 03:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-2,-2,-1,-2,8,94,93,0.0,1008,-1,7,150,5,Pilsach
2021-01-01 04:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-2,-0,-2,8,96,94,0.0,1008,-0,5,151,5,Pilsach
2021-01-01 05:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-2,-0,-2,8,98,94,0.0,1008,-0,4,153,5,Pilsach
2021-01-01 06:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-2,-0,-2,8,100,95,0.0,1008,-0,3,155,5,Pilsach
2021-01-01 07:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-2,-0,-2,8,100,94,0.0,1009,-0,4,169,5,Pilsach
2021-01-01 08:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-2,0,-2,8,100,94,0.0,1009,0,6,184,5,Pilsach
2021-01-01 09:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-1,0,-1,7,100,93,0.0,1010,0,7,199,5,Pilsach
2021-01-01 10:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,-1,1,-1,7,91,90,0.0,1010,1,8,219,5,Pilsach
2021-01-01 11:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,0,1,0,6,81,88,0.0,1010,1,9,238,5,Pilsach
2021-01-01 12:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,1,2,1,5,72,85,0.0,1010,2,10,258,4,Pilsach
2021-01-01 13:00:00,2,-2,0.0,3.9,2,79,07:47 PM,11:06 AM,09:10 AM,05:26 PM,-1,1,2,1,5,65,86,0.0,1010,2,10,278,4,Pilsach
