date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-01-01 00:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,0,2,0,13,100,92,0.0,1005,2,10,247,7,Renkenberge
2021-01-01 01:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,0,2,0,14,100,92,0.0,1005,2,10,247,8,Renkenberge
2021-01-01 02:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,0,3,0,16,100,91,0.0,1005,3,10,246,9,Renkenberge
2021-01-01 03:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,0,3,0,17,100,91,0.0,1006,3,10,245,10,Renkenberge
2021-01-01 04:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-1,2,-1,18,92,92,0.0,1006,2,8,249,10,Renkenberge
2021-01-01 05:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-1,2,-1,19,84,93,0.0,1006,2,6,252,10,Renkenberge
2021-01-01 06:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-2,2,-2,20,76,94,0.0,1006,2,5,256,10,Renkenberge
2021-01-01 07:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-1,2,-1,18,67,94,0.0,1007,2,4,279,10,Renkenberge
2021-01-01 08:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-1,2,-1,17,58,94,0.0,1007,2,3,301,9,Renkenberge
2021-01-01 09:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-1,2,-1,15,49,95,0.0,1007,2,2,324,8,Renkenberge
2021-01-01 10:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,0,2,0,14,49,92,0.0,1007,2,4,311,8,Renkenberge
2021-01-01 11:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,1,3,1,12,49,88,0.0,1008,3,6,298,7,Renkenberge
2021-01-01 12:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,2,4,2,11,48,85,0.0,1008,4,7,285,7,Renkenberge
2021-01-01 13:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,2,4,2,12,60,84,0.0,1008,4,8,272,8,Renkenberge
2021-01-01 14:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,2,4,2,13,72,84,0.0,1008,4,9,258,8,Renkenberge
2021-01-01 15:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,2,4,2,14,84,83,0.0,1008,4,10,245,9,Renkenberge
2021-01-01 16:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,2,4,2,17,84,85,0.0,1008,4,10,242,10,Renkenberge
2021-01-01 17:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,1,4,1,19,84,87,0.0,1009,4,10,239,11,Renkenberge
2021-01-01 18:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,1,4,1,22,84,89,0.0,1009,4,10,236,13,Renkenberge
2021-01-01 19:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,0,4,0,22,86,90,0.0,1009,4,10,235,13,Renkenberge
2021-01-01 20:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,-0,3,-0,23,88,91,0.0,1010,3,10,234,13,Renkenberge
2021-01-01 21:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,2,-1,3,-1,24,91,93,0.0,1010,3,10,232,13,Renkenberge
2021-01-01 22:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-1,2,-1,25,82,94,0.0,1010,2,10,229,13,Renkenberge
2021-01-01 23:00:00,4,2,0.0,3.9,1,79,07:48 PM,11:40 AM,09:44 AM,05:25 PM,1,-2,2,-2,26,73,95,0.0,1010,2,10,225,13,Renkenberge
2021-01-02 00:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-2,1,-2,27,65,96,0.0,1010,1,10,222,13,Renkenberge
2021-01-02 01:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-2,1,-2,27,67,95,0.0,1010,1,8,225,13,Renkenberge
2021-01-02 02:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-2,1,-2,26,70,95,0.0,1011,1,6,228,13,Renkenberge
2021-01-02 03:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-2,1,-2,26,73,95,0.0,1011,1,5,231,12,Renkenberge
2021-01-02 04:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-2,1,-2,23,79,95,0.0,1011,1,4,234,11,Renkenberge
2021-01-02 05:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-2,1,-2,19,86,95,0.0,1011,1,3,237,9,Renkenberge
2021-01-02 06:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-1,1,-1,16,93,95,0.0,1012,1,2,241,8,Renkenberge
2021-01-02 07:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-0,2,-0,12,95,94,0.0,1012,2,4,189,6,Renkenberge
2021-01-02 08:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,1,2,1,9,96,94,0.0,1012,2,6,138,5,Renkenberge
2021-01-02 09:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,1,2,1,6,98,94,0.0,1013,2,7,87,3,Renkenberge
2021-01-02 10:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,2,3,2,7,86,92,0.0,1013,3,8,70,4,Renkenberge
2021-01-02 11:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,2,3,2,8,74,90,0.0,1014,3,9,53,5,Renkenberge
2021-01-02 12:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,2,2,4,2,9,62,88,0.0,1014,4,10,36,6,Renkenberge
2021-01-02 13:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,2,3,2,10,50,87,0.0,1014,3,10,42,7,Renkenberge
2021-01-02 14:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,1,3,1,11,38,86,0.0,1014,3,10,47,7,Renkenberge
2021-01-02 15:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,1,3,1,12,27,85,0.0,1014,3,10,53,8,Renkenberge
2021-01-02 16:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,0,0,2,0,13,24,87,0.0,1015,2,10,53,8,Renkenberge
2021-01-02 17:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,0,-1,2,-1,14,21,88,0.0,1015,2,10,53,8,Renkenberge
2021-01-02 18:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,-0,-1,1,-1,15,19,90,0.0,1015,1,10,53,8,Renkenberge
2021-01-02 19:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,-1,-2,1,-2,16,20,90,0.0,1016,1,10,49,8,Renkenberge
2021-01-02 20:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,-1,-2,0,-2,16,21,91,0.0,1016,0,10,46,9,Renkenberge
2021-01-02 21:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,-1,-3,0,-3,17,22,92,0.0,1017,0,10,43,9,Renkenberge
2021-01-02 22:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,-0,-2,1,-2,16,41,92,0.0,1016,0,10,54,9,Renkenberge
2021-01-02 23:00:00,4,0,0.0,3.9,1,71,09:07 PM,12:09 PM,09:43 AM,05:27 PM,1,-1,2,-1,15,61,92,0.1,1016,1,9,66,9,Renkenberge
2021-01-03 00:00:00,3,-2,0.3,2.0,1,64,10:27 PM,12:31 PM,09:43 AM,05:28 PM,2,-1,3,-1,13,80,92,0.2,1016,1,9,77,8,Renkenberge
2021-01-03 01:00:00,3,-2,0.3,2.0,1,64,10:27 PM,12:31 PM,09:43 AM,05:28 PM,1,-1,2,-1,15,84,93,0.1,1016,1,7,74,9,Renkenberge
2021-01-03 02:00:00,3,-2,0.3,2.0,1,64,10:27 PM,12:31 PM,09:43 AM,05:28 PM,1,-1,2,-1,17,87,94,0.1,1016,1,5,71,10,Renkenberge
2021-01-03 03:00:00,3,-2,0.3,2.0,1,64,10:27 PM,12:31 PM,09:43 AM,05:28 PM,1,-2,1,-2,19,90,95,0.1,1016,1,3,68,11,Renkenberge
2021-01-03 04:00:00,3,-2,0.3,2.0,1,64,10:27 PM,12:31 PM,09:43 AM,05:28 PM,1,-2,2,-2,20,93,95,0.0,1017,2,4,67,12,Renkenberge
